과목,문항,인용파일,인용줄,판정,실제/추정줄,오프셋,비고,심각도
과목4,325,4과목_맞춤형화장품의이해_표준형.md,2822,EXACT,2822,0,,정상
과목4,326,4과목_맞춤형화장품의이해_표준형.md,2758,EXACT,2758,0,,정상
과목4,327,4과목_맞춤형화장품의이해_표준형.md,2957,EXACT,2957,0,,정상
과목4,328,4과목_맞춤형화장품의이해_표준형.md,2371,EXACT,2371,0,,정상
과목4,329,4과목_맞춤형화장품의이해_표준형.md,1137,EXACT,1137,0,,정상
과목4,330,4과목_맞춤형화장품의이해_표준형.md,1698,EXACT,1698,0,,정상
과목4,331,4과목_맞춤형화장품의이해_표준형.md,2956,EXACT,2956,0,,정상
과목4,332,4과목_맞춤형화장품의이해_표준형.md,1436,EXACT,1436,0,,정상
과목4,333,4과목_맞춤형화장품의이해_표준형.md,1148,EXACT,1148,0,,정상
과목4,334,4과목_맞춤형화장품의이해_표준형.md,909,EXACT,909,0,,정상
과목4,335,4과목_맞춤형화장품의이해_표준형.md,1184,EXACT,1184,0,,정상
과목4,336,기능성화장품 심사에 관한 규정(식품의약품안전처고시)(제2025-88호)(20251216).md,225,WRONGLINE_같은파일,221,-4,올바른 줄=L221 ,경미(헤더offset)
과목4,337,4과목_맞춤형화장품의이해_표준형.md,2864,EXACT,2864,0,,정상
과목4,338,4과목_맞춤형화장품의이해_표준형.md,1218,EXACT,1218,0,,정상
과목4,339,4과목_맞춤형화장품의이해_표준형.md,1680,EXACT,1680,0,,정상
과목4,340,화장품 안전기준 등에 관한 규정(식품의약품안전처고시)(제2026-19호)(20260318).md,43,EXACT,43,0,,정상
과목4,341,4과목_맞춤형화장품의이해_표준형.md,725,EXACT,725,0,,정상
과목4,342,4과목_맞춤형화장품의이해_표준형.md,1546,EXACT,1546,0,,정상
과목4,343,4과목_맞춤형화장품의이해_표준형.md,2415,EXACT,2415,0,,정상
과목4,344,4과목_맞춤형화장품의이해_표준형.md,805,EXACT,805,0,,정상
과목4,345,4과목_맞춤형화장품의이해_표준형.md,3835,EXACT,3835,0,,정상
과목4,346,4과목_맞춤형화장품의이해_표준형.md,1698,EXACT,1698,0,,정상
과목4,347,4과목_맞춤형화장품의이해_표준형.md,711,EXACT,711,0,,정상
과목4,348,4과목_맞춤형화장품의이해_표준형.md,1547,EXACT,1547,0,,정상
과목4,349,4과목_맞춤형화장품의이해_표준형.md,1220,EXACT,1220,0,,정상
과목4,350,4과목_맞춤형화장품의이해_표준형.md,2952,EXACT,2952,0,,정상
과목4,351,4과목_맞춤형화장품의이해_표준형.md,1689,EXACT,1689,0,,정상
과목4,352,4과목_맞춤형화장품의이해_표준형.md,1683,EXACT,1683,0,,정상
과목4,353,4과목_맞춤형화장품의이해_표준형.md,830,EXACT,830,0,,정상
과목4,354,4과목_맞춤형화장품의이해_표준형.md,1153,EXACT,1153,0,,정상
과목4,355,안전기준_별표2_사용제한원료.md,1018,WRONGFILE_다른파일,4150,,실제: 4과목_맞춤형화장품의이해_표준형.md L4150 ,교정필요(파일오류)
과목4,356,4과목_맞춤형화장품의이해_표준형.md,2557,EXACT,2557,0,,정상
과목4,357,화장품법 시행규칙(총리령)(제02109호)(20260402).md,2963,EXACT,2963,0,,정상
과목4,358,4과목_맞춤형화장품의이해_표준형.md,1355,EXACT,1355,0,,정상
과목4,359,4과목_맞춤형화장품의이해_표준형.md,2655,EXACT,2655,0,,정상
과목4,360,4과목_맞춤형화장품의이해_표준형.md,2952,EXACT,2952,0,,정상
과목4,361,4과목_맞춤형화장품의이해_표준형.md,1149,EXACT,1149,0,,정상
